原始文件名,处理后文件名,标签,路径
WIN_20221209_09_48_26_Pro.jpg,processed_0.jpg,-1,./data/processed\processed_0.jpg
WIN_20221209_09_48_40_Pro.jpg,processed_1.jpg,-1,./data/processed\processed_1.jpg
WIN_20221209_09_48_45_Pro.jpg,processed_2.jpg,-1,./data/processed\processed_2.jpg
WIN_20221209_09_49_29_Pro.jpg,processed_3.jpg,-1,./data/processed\processed_3.jpg
WIN_20221213_11_25_40_Pro.jpg,processed_4.jpg,-1,./data/processed\processed_4.jpg
WIN_20221213_11_25_56_Pro.jpg,processed_5.jpg,-1,./data/processed\processed_5.jpg
WIN_20221213_11_26_12_Pro.jpg,processed_6.jpg,-1,./data/processed\processed_6.jpg
WIN_20221213_11_26_27_Pro.jpg,processed_7.jpg,-1,./data/processed\processed_7.jpg
WIN_20221213_11_27_11_Pro.jpg,processed_8.jpg,-1,./data/processed\processed_8.jpg
WIN_20221213_11_27_15_Pro.jpg,processed_9.jpg,-1,./data/processed\processed_9.jpg
WIN_20221213_11_28_09_Pro.jpg,processed_10.jpg,-1,./data/processed\processed_10.jpg
WIN_20221213_11_28_15_Pro.jpg,processed_11.jpg,-1,./data/processed\processed_11.jpg
WIN_20221213_11_29_11_Pro.jpg,processed_12.jpg,-1,./data/processed\processed_12.jpg
WIN_20221213_11_29_18_Pro.jpg,processed_13.jpg,-1,./data/processed\processed_13.jpg
WIN_20230619_09_38_24_Pro - 副本.jpg,processed_14.jpg,-1,./data/processed\processed_14.jpg
WIN_20230619_09_38_24_Pro.jpg,processed_15.jpg,-1,./data/processed\processed_15.jpg
WIN_20230619_09_38_35_Pro.jpg,processed_16.jpg,-1,./data/processed\processed_16.jpg
WIN_20230619_09_38_55_Pro.jpg,processed_17.jpg,-1,./data/processed\processed_17.jpg
WIN_20230619_09_39_11_Pro.jpg,processed_18.jpg,-1,./data/processed\processed_18.jpg
WIN_20230619_09_39_22_Pro.jpg,processed_19.jpg,-1,./data/processed\processed_19.jpg
WIN_20230619_09_40_50_Pro.jpg,processed_20.jpg,-1,./data/processed\processed_20.jpg
WIN_20230619_09_41_02_Pro.jpg,processed_21.jpg,-1,./data/processed\processed_21.jpg
WIN_20230619_09_41_17_Pro.jpg,processed_22.jpg,-1,./data/processed\processed_22.jpg
WIN_20230619_09_41_26_Pro.jpg,processed_23.jpg,-1,./data/processed\processed_23.jpg
WIN_20230619_09_42_40_Pro.jpg,processed_24.jpg,-1,./data/processed\processed_24.jpg
WIN_20230619_09_42_49_Pro.jpg,processed_25.jpg,-1,./data/processed\processed_25.jpg
WIN_20230619_09_42_55_Pro.jpg,processed_26.jpg,-1,./data/processed\processed_26.jpg
WIN_20230619_09_43_09_Pro.jpg,processed_27.jpg,-1,./data/processed\processed_27.jpg
WIN_20230619_09_43_18_Pro.jpg,processed_28.jpg,-1,./data/processed\processed_28.jpg
WIN_20230619_09_43_26_Pro.jpg,processed_29.jpg,-1,./data/processed\processed_29.jpg
WIN_20230619_09_43_39_Pro.jpg,processed_30.jpg,-1,./data/processed\processed_30.jpg
WIN_20230619_09_43_49_Pro.jpg,processed_31.jpg,-1,./data/processed\processed_31.jpg
WIN_20230619_09_44_00_Pro.jpg,processed_32.jpg,-1,./data/processed\processed_32.jpg
WIN_20230619_09_44_08_Pro.jpg,processed_33.jpg,-1,./data/processed\processed_33.jpg
WIN_20230619_09_44_31_Pro.jpg,processed_34.jpg,-1,./data/processed\processed_34.jpg
WIN_20230619_09_44_50_Pro.jpg,processed_35.jpg,-1,./data/processed\processed_35.jpg
WIN_20230619_09_45_03_Pro.jpg,processed_36.jpg,-1,./data/processed\processed_36.jpg
WIN_20230619_09_45_13_Pro.jpg,processed_37.jpg,-1,./data/processed\processed_37.jpg
WIN_20230619_09_45_45_Pro.jpg,processed_38.jpg,-1,./data/processed\processed_38.jpg
WIN_20230619_09_45_58_Pro.jpg,processed_39.jpg,-1,./data/processed\processed_39.jpg
WIN_20230619_09_47_16_Pro.jpg,processed_40.jpg,-1,./data/processed\processed_40.jpg
WIN_20230619_09_47_35_Pro.jpg,processed_41.jpg,-1,./data/processed\processed_41.jpg
WIN_20230619_09_47_45_Pro.jpg,processed_42.jpg,-1,./data/processed\processed_42.jpg
WIN_20230619_09_48_06_Pro.jpg,processed_43.jpg,-1,./data/processed\processed_43.jpg
WIN_20230619_09_48_17_Pro.jpg,processed_44.jpg,-1,./data/processed\processed_44.jpg
WIN_20230619_09_48_29_Pro.jpg,processed_45.jpg,-1,./data/processed\processed_45.jpg
WIN_20230619_09_48_41_Pro.jpg,processed_46.jpg,-1,./data/processed\processed_46.jpg
WIN_20230619_09_48_52_Pro.jpg,processed_47.jpg,-1,./data/processed\processed_47.jpg
WIN_20230619_09_49_07_Pro.jpg,processed_48.jpg,-1,./data/processed\processed_48.jpg
WIN_20230619_09_49_52_Pro.jpg,processed_49.jpg,-1,./data/processed\processed_49.jpg
