sample_id,laser_power_W,scan_speed_mm_s,layer_thickness_um,hatch_spacing_um,energy_density_J_mm3,density,quality_label,power_density,line_energy_J_mm,log_energy_density,laser_power_W_z,scan_speed_mm_s_z,layer_thickness_um_z,hatch_spacing_um_z,energy_density_J_mm3_z,power_density_z,line_energy_J_mm_z,log_energy_density_z
0,288.35,863.33,55.76,104.87,57.1214,0.9998,0,3184.871064761135,0.3339974285615002,4.062533926505568,0.9287047734490337,-0.31919152551467134,1.2018029762774805,0.7402468771204185,-0.5587085753948263,0.09350040906678819,0.7079722175841493,-0.45760464058541406
1,197.94,870.23,41.12,116.34,47.5415,0.999,0,1955.106661854382,0.2274571090401388,3.882419102169566,-1.2890530486340728,-0.27699790102453314,-0.4255332278157993,1.5267787639043877,-0.9359760436632164,-1.1710934478773731,-0.7748494608050114,-0.9765090475304968
2,257.64,638.29,54.83,101.58,72.4714,0.9967,0,3973.626483941048,0.40364097823873163,4.296896214847395,0.17538829611055048,-1.6953151856973867,1.0984271108535222,0.5146418285136823,0.04579206009403978,0.9045950019568432,1.6772669004357963,0.21758478199894243
3,288.97,716.78,44.0,72.19,126.9181,0.9798,1,5584.571263379062,0.4031501995033344,4.851390215382246,0.9439133770292962,-1.2153474195769578,-0.10540151553515377,-1.5007175570644224,2.1899656594602703,2.561165046705528,1.6704362718868224,1.8150622887109218
4,225.62,822.28,44.09,79.47,78.3108,0.9973,0,3452.6666881276174,0.2743834217055018,4.373374311044733,-0.6100624887926793,-0.5702130161407847,-0.09539739952638324,-1.001506385679305,0.27575434093271617,0.3688805545851685,-0.1217318991187378,0.43791545882061833
5,241.2,1099.61,51.01,85.62,50.227,0.9655,1,2561.907229553713,0.21935049699438894,3.936266736798611,-0.22788499882414984,1.125664937460674,0.6738079647034998,-0.579782662599844,-0.8302179683143338,-0.547107041628315,-0.8876767935343679,-0.8213759261142672
7,244.25,941.24,34.19,75.73,100.2149,0.9973,0,3426.622327712277,0.25949810887765073,4.617245979217202,-0.1530684812115683,0.15722953014136884,-1.1958501604911018,-1.2579692676820984,1.1383629643732158,0.34209856438328085,-0.328904776484816,1.1405010666974726
8,268.86,932.15,46.78,85.2,72.3753,0.9971,0,3385.32833000794,0.2884299737166765,4.2955873667259326,0.4506149609017518,0.10164401613914291,0.20361451229130248,-0.6085833071028317,0.04200753168553918,0.2996350358390004,0.07376715628455108,0.21381403708245622
9,299.48,740.36,31.75,84.07,151.5477,0.9723,1,4811.537005362734,0.404505916040845,5.027477334025092,1.2017237377205185,-1.0711552941454414,-1.4670728611733148,-0.6860707554084893,3.1599076042053236,1.7662368705571727,1.689305052087621,2.3223630187140256
10,273.0,843.83,54.42,78.35,75.8784,0.9954,0,4129.226299986129,0.3235248806039131,4.342224952790945,0.5521691848086651,-0.43843437733462753,1.0528528045913474,-1.0783081043539386,0.17996363436834364,1.064601724421041,0.5622159329283035,0.34817526485829825
11,202.58,900.63,34.57,104.82,62.0767,0.9969,0,2145.8828170489483,0.22493143688307077,4.1443514462051425,-1.1752338218398506,-0.09110135254624258,-1.1536105595651829,0.7368182289653001,-0.3635631682913749,-0.9749141200807403,-0.81000161206408,-0.2218912744372457
12,230.65,652.59,33.54,118.09,89.2326,0.9606,1,2992.953171237351,0.3534378399914188,4.502390780841175,-0.48667655974635676,-1.6078704276960851,-1.2681021094433305,1.6467814493335027,0.7058673728989897,-0.1038529934338725,0.978542679871039,0.8096073225673885
13,289.03,1030.13,43.48,83.61,77.1747,0.9994,0,3355.773686766534,0.28057623795054987,4.35894606579257,0.9453851773757719,0.7007934838991082,-0.1632030746969373,-0.7176143184355704,0.23101341767676178,0.2692433443906893,-0.03554065978613292,0.3963481970839318
14,222.83,947.53,35.3,112.83,59.04,0.9985,0,2084.2802003710235,0.23516933500786258,4.095011006765261,-0.6785012049038601,0.19569299362585704,-1.072466063049603,1.2860876634151344,-0.4831519031310519,-1.0382614494053284,-0.6675111694900154,-0.36403932671638267
15,261.77,989.91,32.53,90.79,89.5288,0.9974,0,2912.6355463024606,0.26443818124880036,4.505668032125002,0.2766972199597178,0.45484745824789513,-1.38037052243064,-0.22526044336068768,0.7175320692007358,-0.18644537849310158,-0.2601491500922811,0.8190489670301009
16,194.48,952.59,35.12,116.26,50.0057,0.9967,0,1756.057002050926,0.20415918705844066,3.9319373911849986,-1.3739268686142472,0.22663498491862552,-1.0924742950671433,1.5212929268561999,-0.8389330165640853,-1.3757806029286175,-1.09910852001456,-0.8338486169456498
17,314.2,889.38,53.48,74.14,89.0995,0.9974,0,4765.0365916289575,0.35327981290337085,4.500914615209327,1.5628054227228774,-0.15989530551929423,0.9483653707219697,-1.3670002790148372,0.7006257419814935,1.7184194695866273,0.976343268484036,0.8053545418505839
18,246.29,760.19,39.95,96.03,84.4533,0.9951,0,3373.787288090861,0.32398479327536533,4.447970027891385,-0.1030272694313502,-0.9498944863716088,-0.5555867359298108,0.1340618832956328,0.5176530480004919,0.287767127907549,0.5686169694791514,0.6528230676398998
19,199.63,932.42,33.26,103.61,62.1337,0.9982,0,2066.3912429264346,0.2140987966796079,4.145254699881153,-1.2475973388749706,0.10329507101049604,-1.29922602591506,0.6538449436114555,-0.3613184428045435,-1.056657058871736,-0.960769638667042,-0.21928903270173694
20,195.08,1149.61,36.91,71.87,63.9762,0.9968,0,2361.1010218797537,0.16969233044249793,4.174021048998796,-1.3592088651494767,1.4314158395631258,-0.8935035433371592,-1.5226609052571745,-0.2887586759714336,-0.753600493594006,-1.5788161312330857,-0.13641420335942928
21,224.4,1171.74,38.73,95.75,51.6439,0.9996,0,2000.1050857351197,0.1915100619591377,3.9635503724185672,-0.6399890958377119,1.5667411888336715,-0.691198086270918,0.11486145362697434,-0.7744188184495665,-1.1248205761978494,-1.2751582727670117,-0.74277274165751
22,240.91,1195.43,56.75,107.43,33.0555,0.9708,1,1875.8802084717042,0.2015258107961152,3.5279915467173457,-0.23499870049878852,1.7116059662498135,1.3118482523739525,0.915793662662438,-1.506451366509582,-1.2525637571645774,-1.1357596904510132,-1.997602237082959
23,288.08,997.0,41.21,74.72,93.8352,0.9963,0,3867.0615701494207,0.28894684052156466,4.5521406483600915,0.9220816718898861,0.498202936166023,-0.41552911180702873,-1.3272279604154735,0.887123048788309,0.7950119509040197,0.08096087699583764,0.9529349225895912
24,197.19,1098.67,34.6,78.96,65.6941,0.9993,0,2273.0578112917574,0.17948064477959713,4.200116493237021,-1.3074505529650355,1.119916820501149,-1.1502758542289262,-1.0364785968615045,-0.22110580029023966,-0.8441372687617157,-1.4425829684347706,-0.061234156040591015
25,288.84,1183.1,45.02,77.19,70.2452,0.9961,0,3162.822655625871,0.24413828078776095,4.266127448458353,0.9407244762785947,1.636207793791348,0.00797846589757508,-1.1578527415526658,-0.041878253568847314,0.07082754369359791,-0.5426819283681719,0.12894105967127206
26,197.06,903.8,50.83,99.06,43.3049,0.9989,0,2201.039405284648,0.21803496348749724,3.7910952804151252,-1.3106394537157355,-0.07171674535294739,0.6537997326859595,0.3418379614957573,-1.1028182190581433,-0.9181953839651091,-0.9059863087623113,-1.2396097320085508
27,198.35,674.25,57.83,89.88,56.6002,0.9974,0,3273.0164340572583,0.29417871709306637,4.053526039918039,-1.27899574626648,-1.4754191369053031,1.4318976444791944,-0.2876618397838281,-0.5792340301972235,0.18414223628709023,0.15377781647689118,-0.4835560416694839
28,220.1,1154.89,30.75,97.76,63.4074,0.9955,0,1949.4775074333813,0.19058092112668737,4.165228533341321,-0.7454681206685644,1.463703134825146,-1.5782297057152055,0.2526931094627008,-0.3111586734610795,-1.1768820315148256,-1.288089998284858,-0.1617451284491153
29,315.27,957.63,57.99,110.22,51.5085,0.9988,0,2986.926233256479,0.32921900942952914,3.9609750612543215,1.5890525289017172,0.25745467585055243,1.4496827396058973,1.1071122297179976,-0.7797510260095141,-0.11005062667872746,0.6414664711292066,-0.7501921215853333
30,296.12,1078.09,36.98,96.54,76.9404,0.9993,0,2845.151707472562,0.2746709458394012,4.3559444320503315,1.1193029183178058,0.9940697491957788,-0.8857225642192268,0.1690340944778323,0.2217864144914169,-0.25584049826204686,-0.11773015573443472,0.38770059696203957
31,232.39,855.53,49.56,113.37,48.3444,0.9962,0,2395.984731687048,0.2716327890313607,3.8988242842633904,-0.443994349698524,-0.3668886662426542,0.5126305401177588,1.3231170634904046,-0.904356919218004,-0.7177288054678437,-0.16001503715348153,-0.9292463010208505
32,294.32,663.17,32.0,99.72,139.0915,0.9624,1,4450.539227465869,0.44380777176289643,4.942295780553083,1.0751489079234953,-1.5431735368112067,-1.439283650037842,0.38709611714330894,2.669368137379499,1.395014894038892,2.2363058863952014,2.0769579908380464
33,308.94,699.32,38.54,77.68,147.5538,0.9522,1,5687.0752715319795,0.4417720070926042,5.000947182194027,1.433777592348393,-1.3221156345911336,-0.7123178867338771,-1.1242519896325132,3.0026232336464327,2.666572178930157,2.207972237699857,2.2459305942713796
34,187.47,954.69,50.42,89.68,43.4271,0.9975,0,2189.645486409369,0.1963674072211922,3.7938496436044145,-1.545882209094311,0.23947652280692863,0.6082254264237846,-0.30137643240429757,-1.0980058426635675,-0.9299120020280007,-1.2075540372404683,-1.2316745095607682
35,186.09,708.9,37.1,82.47,85.7899,0.997,0,3183.039770652825,0.26250528988573846,4.463490255449014,-1.5797336170632819,-1.2635337617483042,-0.8723837428741994,-0.795787496372251,0.570289891609249,0.09161724894753857,-0.28705101436296887,0.6975362915854233
36,253.33,661.0,55.0,72.6,95.9749,0.9837,1,5278.962086828956,0.3832526475037822,4.574452182131893,0.06966397122195266,-1.556443125962453,1.117323774425644,-1.4726026421924587,0.971386893072057,2.246900390501837,1.3935033549933646,1.0172136583492524
37,317.14,1081.22,53.38,102.12,53.8017,0.9957,0,2872.27584009078,0.29331680879007044,4.003721215370611,1.6349236397002507,1.013209755667393,0.9372496862677813,0.5516712285889525,-0.6894421753708778,-0.22794815449045847,0.14178182920927535,-0.6270419709374475
38,300.06,877.68,41.55,101.98,80.68,0.9957,0,3352.4082075640626,0.3418785890073831,4.402809173856411,1.215951141069796,-0.23144101661126823,-0.3777357846627863,0.5420710137546232,0.3690561588871282,0.2657825479039323,0.8176617286774138,0.5227162523539151
39,212.56,820.51,40.99,86.37,73.167,0.9984,0,2999.4024604980596,0.2590583905132174,4.306319307310108,-0.930424364209175,-0.5810365980752114,-0.43998361760624455,-0.5283529402730806,0.07318558726316385,-0.0972210470533539,-0.33502474990048486,0.2447323764514186
40,308.29,888.55,39.85,96.77,89.9687,0.9822,1,3585.39348908522,0.3469585279387767,4.510515491306446,1.4178330885948929,-0.16497077049419517,-0.566702420384,0.18480587599137238,0.7348558365982308,0.5053664511895133,0.8883640093370205,0.8330143246346765
